tradeable,maturity,open_interest,price
FI_XBTUSD_180706,2018-07-06 15:00:00,1614569,6560.7
FI_ETHUSD_180706,2018-07-06 15:00:00,1348580,467.38
FI_XRPUSD_180706,2018-07-06 15:00:00,342506,0.47356
FI_LTCUSD_180706,2018-07-06 15:00:00,137353,83.38
FI_XBTUSD_180713,2018-07-13 15:00:00,1173551,6248.51
FI_ETHUSD_180713,2018-07-13 15:00:00,689110,437.22
FI_LTCUSD_180713,2018-07-13 15:00:00,428943,77.65
FI_XRPUSD_180713,2018-07-13 15:00:00,177715,0.43995
FI_XBTUSD_180720,2018-07-20 15:00:00,523094,7470.69
FI_ETHUSD_180720,2018-07-20 15:00:00,156670,463.2
FI_LTCUSD_180720,2018-07-20 15:00:00,45718,84.52
FI_XRPUSD_180720,2018-07-20 15:00:00,484347,0.45783
FI_XBTUSD_180727,2018-07-27 15:00:00,475735,7855.26
FI_ETHUSD_180727,2018-07-27 15:00:00,956580,459.5
FI_LTCUSD_180727,2018-07-27 15:00:00,220153,82.06
FI_XRPUSD_180727,2018-07-27 15:00:00,1874141,0.44636
